Date,Ticker,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,,AAPL,MSFT,GOOGL,AMZN,TSLA,META,NVDA,F,JNJ,JPM,V,PG,UNH,XOM,NFLX,AAPL,MSFT,GOOGL,AMZN,TSLA,META,NVDA,F,JNJ,JPM,V,PG,UNH,XOM,NFLX,AAPL,MSFT,GOOGL,AMZN,TSLA,META,NVDA,F,JNJ,JPM,V,PG,UNH,XOM,NFLX,AAPL,MSFT,GOOGL,AMZN,TSLA,META,NVDA,F,JNJ,JPM,V,PG,UNH,XOM,NFLX,AAPL,MSFT,GOOGL,AMZN,TSLA,META,NVDA,F,JNJ,JPM,V,PG,UNH,XOM,NFLX
2019-01-02,AAPL,36.94446185817818,,,,,,,,,,,,,,,37.889005195870084,,,,,,,,,,,,,,,36.7870373619735,,,,,,,,,,,,,,,37.667179107666016,,,,,,,,,,,,,,,148158800.0,,,,,,,,,,,,,,
2019-01-03,AAPL,34.34220305872549,,,,,,,,,,,,,,,34.75723031072386,,,,,,,,,,,,,,,33.86993317854554,,,,,,,,,,,,,,,33.915252685546875,,,,,,,,,,,,,,,365248800.0,,,,,,,,,,,,,,
2019-01-04,AAPL,34.473390406461,,,,,,,,,,,,,,,35.43224447060452,,,,,,,,,,,,,,,34.29927134520694,,,,,,,,,,,,,,,35.36307144165039,,,,,,,,,,,,,,,234428400.0,,,,,,,,,,,,,,
2019-01-07,AAPL,35.46802857200159,,,,,,,,,,,,,,,35.49903742871124,,,,,,,,,,,,,,,34.80016986131174,,,,,,,,,,,,,,,35.284366607666016,,,,,,,,,,,,,,,219111200.0,,,,,,,,,,,,,,
2019-01-08,AAPL,35.67314533765117,,,,,,,,,,,,,,,36.21220429826707,,,,,,,,,,,,,,,35.42508548038979,,,,,,,,,,,,,,,35.95698547363281,,,,,,,,,,,,,,,164101200.0,,,,,,,,,,,,,,
2019-01-09,AAPL,36.0857875184234,,,,,,,,,,,,,,,36.858595734256404,,,,,,,,,,,,,,,35.689846005675946,,,,,,,,,,,,,,,36.56760025024414,,,,,,,,,,,,,,,180396400.0,,,,,,,,,,,,,,
2019-01-10,AAPL,36.37441251679037,,,,,,,,,,,,,,,36.72503829254146,,,,,,,,,,,,,,,35.98323865235525,,,,,,,,,,,,,,,36.68449020385742,,,,,,,,,,,,,,,143122800.0,,,,,,,,,,,,,,
2019-01-11,AAPL,36.46504026047846,,,,,,,,,,,,,,,36.66062531231102,,,,,,,,,,,,,,,36.138264476061444,,,,,,,,,,,,,,,36.324310302734375,,,,,,,,,,,,,,,108092800.0,,,,,,,,,,,,,,
2019-01-14,AAPL,35.98083924089946,,,,,,,,,,,,,,,36.08101747084215,,,,,,,,,,,,,,,35.592049441248335,,,,,,,,,,,,,,,35.77809524536133,,,,,,,,,,,,,,,129756800.0,,,,,,,,,,,,,,
2019-01-15,AAPL,35.84250960344726,,,,,,,,,,,,,,,36.586693084987196,,,,,,,,,,,,,,,35.790034753898944,,,,,,,,,,,,,,,36.51036834716797,,,,,,,,,,,,,,,114843600.0,,,,,,,,,,,,,,
2019-01-16,AAPL,36.512741822826186,,,,,,,,,,,,,,,37.180600375929615,,,,,,,,,,,,,,,36.49365973393336,,,,,,,,,,,,,,,36.956390380859375,,,,,,,,,,,,,,,122278800.0,,,,,,,,,,,,,,
2019-01-17,AAPL,36.77988566528837,,,,,,,,,,,,,,,37.605168764223066,,,,,,,,,,,,,,,36.55567565877573,,,,,,,,,,,,,,,37.17583084106445,,,,,,,,,,,,,,,119284800.0,,,,,,,,,,,,,,
2019-01-18,AAPL,37.5670079931064,,,,,,,,,,,,,,,37.65764701831298,,,,,,,,,,,,,,,37.204455531816905,,,,,,,,,,,,,,,37.404815673828125,,,,,,,,,,,,,,,135004000.0,,,,,,,,,,,,,,
2019-01-22,AAPL,37.30700764110473,,,,,,,,,,,,,,,37.383332339976725,,,,,,,,,,,,,,,36.403012535710424,,,,,,,,,,,,,,,36.565208435058594,,,,,,,,,,,,,,,121576000.0,,,,,,,,,,,,,,
2019-01-23,AAPL,36.76796298779607,,,,,,,,,,,,,,,37.00409978164385,,,,,,,,,,,,,,,36.1835880239302,,,,,,,,,,,,,,,36.713104248046875,,,,,,,,,,,,,,,92522400.0,,,,,,,,,,,,,,
2019-01-24,AAPL,36.75841118449114,,,,,,,,,,,,,,,36.84666264513592,,,,,,,,,,,,,,,36.19311850602909,,,,,,,,,,,,,,,36.422096252441406,,,,,,,,,,,,,,,101766000.0,,,,,,,,,,,,,,
2019-01-25,AAPL,37.085197598121155,,,,,,,,,,,,,,,37.717279639931625,,,,,,,,,,,,,,,36.8085163508175,,,,,,,,,,,,,,,37.629024505615234,,,,,,,,,,,,,,,134142000.0,,,,,,,,,,,,,,
2019-01-28,AAPL,37.159140527875316,,,,,,,,,,,,,,,37.28794375190621,,,,,,,,,,,,,,,36.6510938806389,,,,,,,,,,,,,,,37.28078842163086,,,,,,,,,,,,,,,104768400.0,,,,,,,,,,,,,,
2019-01-29,AAPL,37.268846332948215,,,,,,,,,,,,,,,37.717266256677696,,,,,,,,,,,,,,,36.75841235915359,,,,,,,,,,,,,,,36.89436721801758,,,,,,,,,,,,,,,166348800.0,,,,,,,,,,,,,,
2019-01-30,AAPL,38.93849747119621,,,,,,,,,,,,,,,39.630205924517746,,,,,,,,,,,,,,,38.218164063991175,,,,,,,,,,,,,,,39.4155387878418,,,,,,,,,,,,,,,244439200.0,,,,,,,,,,,,,,
2019-01-31,AAPL,39.62066671326708,,,,,,,,,,,,,,,40.30999127047661,,,,,,,,,,,,,,,39.25095896483175,,,,,,,,,,,,,,,39.699378967285156,,,,,,,,,,,,,,,162958400.0,,,,,,,,,,,,,,
2019-02-01,AAPL,39.82342505156706,,,,,,,,,,,,,,,40.30523433436621,,,,,,,,,,,,,,,39.57774533667537,,,,,,,,,,,,,,,39.718475341796875,,,,,,,,,,,,,,,130672400.0,,,,,,,,,,,,,,
2019-02-04,AAPL,39.93074966548283,,,,,,,,,,,,,,,40.944462599990764,,,,,,,,,,,,,,,39.8997408110696,,,,,,,,,,,,,,,40.8466682434082,,,,,,,,,,,,,,,125982000.0,,,,,,,,,,,,,,
2019-02-05,AAPL,41.230679235310284,,,,,,,,,,,,,,,41.76019536344644,,,,,,,,,,,,,,,41.10903501542785,,,,,,,,,,,,,,,41.54552459716797,,,,,,,,,,,,,,,144406400.0,,,,,,,,,,,,,,
2019-02-06,AAPL,41.65763568434292,,,,,,,,,,,,,,,41.877077914727295,,,,,,,,,,,,,,,41.22830136807492,,,,,,,,,,,,,,,41.559844970703125,,,,,,,,,,,,,,,112958400.0,,,,,,,,,,,,,,
2019-02-07,AAPL,41.12095844643784,,,,,,,,,,,,,,,41.48828228416903,,,,,,,,,,,,,,,40.62960649164856,,,,,,,,,,,,,,,40.77272033691406,,,,,,,,,,,,,,,126966800.0,,,,,,,,,,,,,,
2019-02-08,AAPL,40.480473835526816,,,,,,,,,,,,,,,40.880511204518456,,,,,,,,,,,,,,,40.34393223055581,,,,,,,,,,,,,,,40.82062530517578,,,,,,,,,,,,,,,95280000.0,,,,,,,,,,,,,,
2019-02-11,AAPL,40.973928086878736,,,,,,,,,,,,,,,41.01225593503974,,,,,,,,,,,,,,,40.54274893292941,,,,,,,,,,,,,,,40.58586502075195,,,,,,,,,,,,,,,83973600.0,,,,,,,,,,,,,,
