Ticker,Year,ROA,ROE,EPS,P/E Ratio,Debt/Equity,Dividend Yield,Revenue,Net Income,Total Assets,Total Stockholder Equity,Total Liabilities,Cash Dividends Paid,Year-End price
JPM,2024,1.4607,18.0073,19.75,12.01,2.7382,2.16,278906000,56868000,4002814000,344758000,3658056000,-14783000,236.6328125
V,2020,13.4282,34.912,4.38,43.82,0.6647,0.58,21846000,10866000,80919000,36210000,44709000,-2664000,212.0819244
V,2021,14.8511,35.6748,5.04,35,0.5581,0.62,24105000,12311000,82896000,37589000,45307000,-2798000,211.4140167
V,2022,17.4934,44.974,6.26,28.56,0.631,0.81,29310000,14957000,85501000,35581000,49920000,-3203000,204.2159424
V,2023,19.0864,46.6397,7.38,29.68,0.5283,0.76,32653000,17273000,90499000,38733000,51766000,-3751000,257.9411011
V,2024,20.8896,51.8107,8.81,31.81,0.5324,0.69,35926000,19743000,94511000,39137000,55374000,-4217000,314.7803345
PG,2020,10.8558,28.4966,4.96,23.53,0.7406,2.19,70950000,12764000,120700000,46878000,74822000,-7789000,124.482399
PG,2021,12.0295,31.3472,5.5,26.5,0.6856,2.42,76118000,14035000,119307000,46654000,72653000,-8263000,150.028717
PG,2022,12.6212,32.151,5.81,24.99,0.6722,2.81,80187000,14461000,117208000,46854000,70354000,-8770000,142.4553375
PG,2023,12.1974,31.8687,5.9,23.65,0.7353,2.5,82006000,14371000,120829000,47065000,73764000,-8999000,141.2335205
PG,2024,12.2367,30.0925,6.02,26.36,0.642,2.29,84039000,14595000,122370000,50559000,71812000,-9312000,165.0485077
UNH,2020,7.9928,23.0784,16.03,20.57,0.6362,1.37,257141000,15403000,197289000,68328000,128961000,-4584000,329.7857971
UNH,2021,8.356,24.6285,18.08,26.49,0.613,1.24,287597000,17285000,212206000,75045000,137161000,-5280000,478.8610535
UNH,2022,8.3999,25.3395,21.18,24.17,0.7075,1.19,324162000,20120000,245705000,81450000,164255000,-5991000,512.0762329
UNH,2023,8.4554,24.5115,23.86,21.65,0.6623,1.33,371622000,22381000,273720000,94421000,179299000,-6761000,516.1483765
UNH,2024,5.11,15.5106,15.51,32.5,0.7826,1.45,400278000,14405000,298278000,98268000,200010000,-7533000,505.6390686
XOM,2020,-6.9875,-14.1662,-5.25,0,0.4121,9.14,181502000,-22440000,332750000,164130000,168620000,-15053000,34.61633682
XOM,2021,6.9626,13.4322,5.39,10.12,0.2715,5.32,285640000,23040000,338923000,175683000,163240000,-15148000,54.54688263
XOM,2022,15.6007,28.4369,13.26,7.71,0.2034,3.09,413680000,55740000,369067000,202473000,166594000,-15206000,102.2258224
XOM,2023,9.9262,17.5752,8.89,10.78,0.1956,3.48,344582000,36010000,376317000,212538000,163779000,-15472000,95.82492065
XOM,2024,7.7321,12.9572,7.84,13.6,0.1541,3.15,349585000,33680000,453475000,270606000,182869000,-17362000,104.8223953
NFLX,2020,7.03,24.9556,6.08,88.79,1.4739,0,24996060,2761395,39280360,11065240,28215120,0,540.7299805
NFLX,2021,11.4753,32.2806,11.24,53.6,0.9712,0,29697844,5116228,44584663,15849248,28735415,0,602.4400024
NFLX,2022,9.2436,21.6193,9.95,29.64,0.6908,0,31615550,4491924,48594768,20777401,27817367,0,294.8800049
NFLX,2023,11.0974,26.2673,12.03,40.54,0.7064,0,33723297,5407990,48731992,20588313,28143679,0,486.8800049
NFLX,2024,16.2438,35.2077,19.83,44.95,0.6298,0,39000966,8711631,53630374,24743567,28886807,0,900.4299927
