date,value,cash,returns,weights
2023-01-03,99950.00000000003,2.1086243862100673e-11,-0.000499999999999709,"{'AAPL': 0.004908994509480259, 'AMZN': 0.005061684373066306, 'F': 0.0003559976471404964, 'GOOGL': 0.008537565456664075, 'JNJ': 0.01087174788471144, 'JPM': 0.002501158931895691, 'META': 0.004967341800231132, 'MSFT': 0.003246732249782444, 'NFLX': 0.005950333639202465, 'NVDA': 0.0013522619564266638, 'PG': 0.007798982694919892, 'TSLA': 0.8526264627759101, 'UNH': 0.08619891704438791, 'V': 0.005562930816432042, 'XOM': 5.888821974879265e-05}"
2023-01-04,104135.73125052084,2.1086243862100673e-11,0.0418782516310236,"{'AAPL': 0.0047602745295592976, 'AMZN': 0.00481973568645529, 'F': 0.0003513421997829477, 'GOOGL': 0.008098772737847301, 'JNJ': 0.010548363472847287, 'JPM': 0.002423011413215533, 'META': 0.004868200977652399, 'MSFT': 0.0029799157908730963, 'NFLX': 0.00599115116368398, 'NVDA': 0.0013372577599450241, 'PG': 0.007518096068860384, 'TSLA': 0.8602949428156602, 'UNH': 0.08047852874819969, 'V': 0.005473720905428451, 'XOM': 5.668572998888187e-05}"
2023-01-05,101221.552060164,2.1086243862100673e-11,-0.027984431043617048,"{'AAPL': 0.004845389622022251, 'AMZN': 0.004840853138752474, 'F': 0.0003686805050803785, 'GOOGL': 0.008154097645926204, 'JNJ': 0.010771926824149704, 'JPM': 0.002492217424913636, 'META': 0.004991448702105142, 'MSFT': 0.0029748472014015084, 'NFLX': 0.006169414187472732, 'NVDA': 0.0013306108371706278, 'PG': 0.00763851536503037, 'TSLA': 0.8593614964062545, 'UNH': 0.08040930036181518, 'V': 0.005591579270760539, 'XOM': 5.9622507144682985e-05}"
2023-01-06,103497.09794308111,2.1086243862100673e-11,0.022480843620779234,"{'AAPL': 0.00491321710338355, 'AMZN': 0.004903017527274013, 'F': 0.0003702878502637601, 'GOOGL': 0.008080283672151472, 'JNJ': 0.01062052147208558, 'JPM': 0.0024840638450748975, 'META': 0.005000151643638111, 'MSFT': 0.002943729305119958, 'NFLX': 0.006147742843548012, 'NVDA': 0.00135554436026323, 'PG': 0.00764846539199437, 'TSLA': 0.8611855173667745, 'UNH': 0.07864779630125679, 'V': 0.00564064489867045, 'XOM': 5.9016418501309534e-05}"
2023-01-09,108774.58223068145,2.1086243862100673e-11,0.050991616117610605,"{'AAPL': 0.004693954393059846, 'AMZN': 0.004734504732207235, 'F': 0.00035540308345675996, 'GOOGL': 0.007748105725365599, 'JNJ': 0.009843430168895209, 'JPM': 0.002353776039811135, 'META': 0.004737430423726618, 'MSFT': 0.0028281774065350316, 'NFLX': 0.00584242523955118, 'NVDA': 0.0013565264155061903, 'PG': 0.007188494788031403, 'TSLA': 0.8680335908179923, 'UNH': 0.07484115062665174, 'V': 0.005387923608035268, 'XOM': 5.510653117432236e-05}"
2023-01-10,108052.89688482681,2.1086243862100673e-11,-0.006634687360362736,"{'AAPL': 0.00474636314801728, 'AMZN': 0.0049030654519215434, 'F': 0.00036200595934182304, 'GOOGL': 0.007835302295087556, 'JNJ': 0.00988547101938059, 'JPM': 0.002390713654094611, 'META': 0.0048987323561718865, 'MSFT': 0.0028687533559523704, 'NFLX': 0.0061122856019033694, 'NVDA': 0.0013901407690238526, 'PG': 0.00722936568200013, 'TSLA': 0.8671189631643242, 'UNH': 0.07471684331174207, 'V': 0.005485691130786316, 'XOM': 5.6303100252299056e-05}"
2023-01-11,111699.27525961016,2.1086243862100673e-11,0.03374623429735542,"{'AAPL': 0.004688356454687523, 'AMZN': 0.0050184988150715724, 'F': 0.00036055221510454706, 'GOOGL': 0.00784525900928403, 'JNJ': 0.009547477329829232, 'JPM': 0.002329855672713532, 'META': 0.0047352512778845515, 'MSFT': 0.0028590178890867094, 'NFLX': 0.0059076979334859005, 'NVDA': 0.0013525366958275662, 'PG': 0.006936735239013981, 'TSLA': 0.8696545464248648, 'UNH': 0.07337826102333038, 'V': 0.00533085565376023, 'XOM': 5.509836605532586e-05}"
2023-01-12,112026.36825707405,2.1086243862100673e-11,0.0029283358974680897,"{'AAPL': 0.004671865745570212, 'AMZN': 0.005013317887655811, 'F': 0.00036521013575939123, 'GOOGL': 0.007789018545335036, 'JNJ': 0.009471696700263934, 'JPM': 0.002320723655497442, 'META': 0.0048571464737089875, 'MSFT': 0.002883799452264543, 'NFLX': 0.005942106603348363, 'NVDA': 0.0013915710484311945, 'PG': 0.0068774591573536464, 'TSLA': 0.8695079403533413, 'UNH': 0.07350062741635201, 'V': 0.005351666751344698, 'XOM': 5.5850073773054745e-05}"
2023-01-13,111058.19247602983,2.1086243862100673e-11,-0.008642391930643388,"{'AAPL': 0.004760280462967086, 'AMZN': 0.005208303712834595, 'F': 0.00034891816769883353, 'GOOGL': 0.007942276361508998, 'JNJ': 0.009522969688505937, 'JPM': 0.0024000290896126985, 'META': 0.0049091652523256925, 'MSFT': 0.002917720956177354, 'NFLX': 0.006042748546062059, 'NVDA': 0.001436688974379899, 'PG': 0.006986965441425543, 'TSLA': 0.8688538715193477, 'UNH': 0.07322895723677719, 'V': 0.005384802464127095, 'XOM': 5.630212624907827e-05}"
2023-01-17,118110.2462303251,2.1086243862100673e-11,0.06349872618192792,"{'AAPL': 0.004515249957667042, 'AMZN': 0.004794012462009084, 'F': 0.0003267955042169803, 'GOOGL': 0.007400776118056007, 'JNJ': 0.008899132723058627, 'JPM': 0.002221855344424032, 'META': 0.004561460049524626, 'MSFT': 0.0027563559694981496, 'NFLX': 0.005569275572387879, 'NVDA': 0.00141509970114939, 'PG': 0.0065506320248924525, 'TSLA': 0.8776494537522425, 'UNH': 0.06822513485362304, 'V': 0.00506192842696088, 'XOM': 5.2837540289256317e-05}"
