,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Skew,Kurtosis,Calmar Ratio,Value at Risk (VaR),Conditional VaR (CVaR)
Markowitz,119.61226006035757,73.44413026906238,33.1715065908785,2.492963123588862,5.938174996858063,-24.342449194662187,3.037426322257852,15.554490283726004,3.017121641365784,-3.1010855062374976,-3.9056216969352824
BlackLitterman,105.6741540643836,65.66310759176824,31.349025035908824,2.4101612154661227,5.057915701210265,-19.338982288316075,2.3583435440786626,12.736375067617553,3.395375548352384,-2.940577100562067,-3.9828076222911033
RL_Strategy,369.67522359591334,195.29653810011047,73.08526776386614,2.425986973679554,6.878423142122502,-40.9756472564341,5.982184420448019,60.77865859796526,4.766161151229759,-6.861360529482287,-15.202320209039996
