,ARIMA_Accuracy,ARIMA_F1_Macro,ARIMA_F1_Weighted,ARIMA_Precision_Macro,ARIMA_Recall_Macro,RandomForest_Accuracy,RandomForest_F1_Macro,RandomForest_F1_Weighted,RandomForest_Precision_Macro,RandomForest_Recall_Macro,XGBoost_Accuracy,XGBoost_F1_Macro,XGBoost_F1_Weighted,XGBoost_Precision_Macro,XGBoost_Recall_Macro,SVM_Accuracy,SVM_F1_Macro,SVM_F1_Weighted,SVM_Precision_Macro,SVM_Recall_Macro,LSTM_Accuracy,LSTM_F1_Macro,LSTM_F1_Weighted,LSTM_Precision_Macro,LSTM_Recall_Macro,Transformer_Accuracy,Transformer_F1_Macro,Transformer_F1_Weighted,Transformer_Precision_Macro,Transformer_Recall_Macro
mean,0.1995108131507882,0.16733913705810313,0.15814098025952095,0.35648623042174027,0.35443306614225617,0.4038146784994063,0.35151449960245823,0.4087097504731873,0.3536657063780562,0.36007934795172436,0.4516180245508266,0.31875406282631885,0.421707769282828,0.34677018151930544,0.3406678407293788,0.3145934385913138,0.3040967005781198,0.3303566462604876,0.36412373495865163,0.3816356461859385,0.2966832231602347,0.28794387069012894,0.31837166615875695,0.34684665902434947,0.35694545052444465,0.30901241629851817,0.295602726472724,0.3336574849666653,0.335017174217001,0.34317219355341716
std,0.05113919993492986,0.047418161553807764,0.06474917841297641,0.03787633592805159,0.009506312732330512,0.019227244255532145,0.00847903526223695,0.015198735213341138,0.00879663852777071,0.012881208704953516,0.007331784381607341,0.0035536056827337203,0.0045567673462733865,0.044061585497365684,0.002396837759227622,0.055602487775183417,0.040381901450519724,0.06252700347203782,0.010507090345884153,0.019065973281132683,0.014474185690968101,0.0030748800127503974,0.024119603821734944,0.018658104710617407,0.028247691729592527,0.018136097084746446,0.011638284213499188,0.022940163690228027,0.011757201902378148,0.02435557629809006
