date,value,cash,returns,weights
2023-01-03,99950.0,1.6370904631912708e-11,-0.0005,"{'AAPL': 0.06666666666666667, 'AMZN': 0.06666666666666667, 'F': 0.06666666666666667, 'GOOGL': 0.06666666666666668, 'JNJ': 0.06666666666666667, 'JPM': 0.06666666666666667, 'META': 0.06666666666666667, 'MSFT': 0.06666666666666667, 'NFLX': 0.06666666666666667, 'NVDA': 0.06666666666666667, 'PG': 0.06666666666666667, 'TSLA': 0.06666666666666667, 'UNH': 0.06666666666666667, 'V': 0.06666666666666667, 'XOM': 0.06666666666666665}"
2023-01-04,100964.76549801497,1.6370904631912708e-11,0.010152731345822584,"{'AAPL': 0.06667731825927824, 'AMZN': 0.06547369222424944, 'F': 0.0678612507000193, 'GOOGL': 0.06522646420472046, 'JNJ': 0.06671513738199052, 'JPM': 0.06661205650309025, 'META': 0.06738808666121181, 'MSFT': 0.06310971046899644, 'NFLX': 0.06923212005251503, 'NVDA': 0.06799750344673258, 'PG': 0.06628398118256654, 'TSLA': 0.0693788718104943, 'UNH': 0.06419731874239501, 'V': 0.06765776729760438, 'XOM': 0.06618872106413562}"
2023-01-05,99879.12183040552,1.6370904631912708e-11,-0.010752698352285974,"{'AAPL': 0.06668730645506377, 'AMZN': 0.06461507673359324, 'F': 0.06996970840878872, 'GOOGL': 0.06452810024690941, 'JNJ': 0.06694236320955549, 'JPM': 0.06732117028073324, 'META': 0.06789059039810018, 'MSFT': 0.06190492571196467, 'NFLX': 0.07005024009510497, 'NVDA': 0.0664809541722167, 'PG': 0.06617257239653297, 'TSLA': 0.06809639193080014, 'UNH': 0.06302480224153335, 'V': 0.06791064342230367, 'XOM': 0.06840515429679932}"
2023-01-06,102077.93486907086,1.6370904631912708e-11,0.022014741403102386,"{'AAPL': 0.0676516583025206, 'AMZN': 0.06547468580148116, 'F': 0.07030680666908387, 'GOOGL': 0.06397312991662175, 'JNJ': 0.06603155226367381, 'JPM': 0.06713152341303179, 'META': 0.06803997872485885, 'MSFT': 0.06128531666371918, 'NFLX': 0.06983600917198174, 'NVDA': 0.06775758871619203, 'PG': 0.06628898774381208, 'TSLA': 0.06827205070064671, 'UNH': 0.061672249076200475, 'V': 0.06853779673089201, 'XOM': 0.06774066610528381}"
2023-01-09,102727.26537228713,1.6370904631912708e-11,0.006361124997768929,"{'AAPL': 0.06749890957158798, 'AMZN': 0.06602827203632136, 'F': 0.07047328265235309, 'GOOGL': 0.06406368697962209, 'JNJ': 0.06391422538210831, 'JPM': 0.0664315347929558, 'META': 0.06732389559866087, 'MSFT': 0.06149086626679427, 'NFLX': 0.06931101901306176, 'NVDA': 0.07081379391967807, 'PG': 0.06506545081365221, 'TSLA': 0.0718667758717659, 'UNH': 0.061289924151927744, 'V': 0.06837041379090737, 'XOM': 0.06605794915860307}"
2023-01-10,103826.22086695237,1.6370904631912708e-11,0.010697797616655937,"{'AAPL': 0.0670820809138692, 'AMZN': 0.06720641650736484, 'F': 0.07055157305089099, 'GOOGL': 0.06367366078580716, 'JNJ': 0.0630864520808112, 'JPM': 0.06631692521724945, 'META': 0.06842231701597151, 'MSFT': 0.061303439978095044, 'NFLX': 0.07126896147873027, 'NVDA': 0.07132406042180142, 'PG': 0.06431323354176095, 'TSLA': 0.07055990468945049, 'UNH': 0.06013880785646748, 'V': 0.06841727954628532, 'XOM': 0.06633488691544441}"
2023-01-11,105514.34332785082,1.6370904631912708e-11,0.016259114959617814,"{'AAPL': 0.06740244846242854, 'AMZN': 0.06997233407798649, 'F': 0.07147738183058813, 'GOOGL': 0.06485162095654323, 'JNJ': 0.06197790030160801, 'JPM': 0.06574085156433135, 'META': 0.067276994403632, 'MSFT': 0.06214668872537687, 'NFLX': 0.07006878058661481, 'NVDA': 0.07058880382562173, 'PG': 0.06277182535658875, 'TSLA': 0.07198393106107931, 'UNH': 0.060077686659423916, 'V': 0.06763022931694603, 'XOM': 0.06603252287123063}"
2023-01-12,106334.6595914993,1.6370904631912708e-11,0.007774452626782853,"{'AAPL': 0.06684238853339251, 'AMZN': 0.0695639662245831, 'F': 0.07205263159202542, 'GOOGL': 0.06407709941774019, 'JNJ': 0.06119029725978127, 'JPM': 0.0651682851131209, 'META': 0.0686769988722839, 'MSFT': 0.06238393034457033, 'NFLX': 0.07013798326996819, 'NVDA': 0.0722767652442926, 'PG': 0.06193615146833707, 'TSLA': 0.0716257029932942, 'UNH': 0.059888493637414005, 'V': 0.06756776537134886, 'XOM': 0.06661154065784729}"
2023-01-13,106601.01150422083,1.6370904631912708e-11,0.0025048456800893675,"{'AAPL': 0.0673500636940406, 'AMZN': 0.07146596409586302, 'F': 0.06807293435374455, 'GOOGL': 0.0646113722060468, 'JNJ': 0.060837456062646005, 'JPM': 0.06664586862793202, 'META': 0.0686406872528901, 'MSFT': 0.06241590845329609, 'NFLX': 0.07053281565631941, 'NVDA': 0.0737904136642444, 'PG': 0.06222267168408661, 'TSLA': 0.07077598939710474, 'UNH': 0.059003674226789024, 'V': 0.06723015826580678, 'XOM': 0.0664040223591898}"
2023-01-17,106899.65081492158,1.6370904631912708e-11,0.0028014678893447612,"{'AAPL': 0.06774999696925271, 'AMZN': 0.06976283598612133, 'F': 0.06761592207207255, 'GOOGL': 0.0638503451688266, 'JNJ': 0.06029320089120531, 'JPM': 0.06543265168144621, 'META': 0.06763941770757614, 'MSFT': 0.06253294152117811, 'NFLX': 0.06894097471291936, 'NVDA': 0.07708080443664556, 'PG': 0.06186788600210213, 'TSLA': 0.07581974308607815, 'UNH': 0.05829920364093818, 'V': 0.06702431290857677, 'XOM': 0.06608976321506063}"
