,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown
Markowitz,118.66803507271806,72.92178570990127,33.37070999262888,2.4669903738723242,5.81016724731833,-22.30376878535848
BlackLitterman,93.43945633345292,58.70168726062184,30.587679346778927,2.2608248471481405,4.498631661391727,-21.648886970481428
RL_Strategy,148.16409443044702,88.93710742042775,45.49885971092774,2.1851640916140633,4.77507307031816,-26.093397913195915
