date,value,cash,returns,weights
2023-01-03,99950.0,-50.0,0.0,"{'AAPL': 0.010005002501250627, 'AMZN': 0.010005002501250625, 'F': 0.010005002501250625, 'GOOGL': 0.010005002501250625, 'JNJ': 0.10940470235117558, 'JPM': 0.3001500750375188, 'META': 0.010005002501250625, 'MSFT': 0.010005002501250625, 'NFLX': 0.18074037018509254, 'NVDA': 0.010005002501250625, 'PG': 0.010005002501250625, 'TSLA': 0.010005002501250627, 'UNH': 0.010005002501250625, 'V': 0.010005002501250627, 'XOM': 0.3001500750375188}"
2023-01-04,101452.66654225766,-50.0,0.015034182513833542,"{'AAPL': 0.009963459528428552, 'AMZN': 0.009783604075323199, 'F': 0.010140372206767646, 'GOOGL': 0.009746661282313855, 'JNJ': 0.10901222621512927, 'JPM': 0.29861122780605365, 'META': 0.01006966824215056, 'MSFT': 0.009430358966501963, 'NFLX': 0.1868863721548884, 'NVDA': 0.01016073218468752, 'PG': 0.009904683948558824, 'TSLA': 0.010367147321731161, 'UNH': 0.009592878115407339, 'V': 0.010109966085201927, 'XOM': 0.29671348253535795}"
2023-01-05,101876.81535640577,-50.0,0.004180755702181968,"{'AAPL': 0.009816760444094899, 'AMZN': 0.009511716143430016, 'F': 0.01029994915531777, 'GOOGL': 0.009498912697325626, 'JNJ': 0.10775683923630391, 'JPM': 0.2973020668816788, 'META': 0.009993890858306093, 'MSFT': 0.009112766106895341, 'NFLX': 0.1862827372587713, 'NVDA': 0.009786384184571404, 'PG': 0.00974098858864564, 'TSLA': 0.010024186044195848, 'UNH': 0.00927761846339512, 'V': 0.009996842780422158, 'XOM': 0.3020891299570719}"
2023-01-06,103546.33300493905,-50.0,0.016387611280276465,"{'AAPL': 0.01001385412749113, 'AMZN': 0.009691616866617419, 'F': 0.010406871373435274, 'GOOGL': 0.009469355329021111, 'JNJ': 0.10687917877870383, 'JPM': 0.29810589999505266, 'META': 0.010071333635925826, 'MSFT': 0.009071502999723506, 'NFLX': 0.18674122065966967, 'NVDA': 0.010029534034485086, 'PG': 0.009812150510150155, 'TSLA': 0.010105685120736832, 'UNH': 0.009128777053797086, 'V': 0.010145021066796517, 'XOM': 0.3008108740708227}"
2023-01-09,102676.86027154644,-50.0,-0.008396943746439964,"{'AAPL': 0.010139944228757502, 'AMZN': 0.009919019436298372, 'F': 0.010586765923298935, 'GOOGL': 0.00962389195892107, 'JNJ': 0.10499173837792002, 'JPM': 0.2993879732754421, 'META': 0.010113652960705951, 'MSFT': 0.009237392996134164, 'NFLX': 0.18809578305941305, 'NVDA': 0.010637918827573294, 'PG': 0.009774380751583399, 'TSLA': 0.010796101801725414, 'UNH': 0.009207206703483108, 'V': 0.01027086492414523, 'XOM': 0.2977043294116917}"
2023-01-10,104241.87377822642,-50.0,0.015242124686526646,"{'AAPL': 0.010032219494783407, 'AMZN': 0.010050814057563353, 'F': 0.010551086920776321, 'GOOGL': 0.009522485473576462, 'JNJ': 0.10316809005654873, 'JPM': 0.2975336815443205, 'META': 0.010232653687759427, 'MSFT': 0.009168015620075621, 'NFLX': 0.19254351490301347, 'NVDA': 0.010666613492945008, 'PG': 0.009618134478246583, 'TSLA': 0.010552332929034286, 'UNH': 0.008993843249217827, 'V': 0.010231900327086922, 'XOM': 0.2976142674607096}"
2023-01-11,105035.00418082858,-50.0,0.007608558574930558,"{'AAPL': 0.010166671205919835, 'AMZN': 0.010554300775560237, 'F': 0.010781315164487649, 'GOOGL': 0.009781916272724664, 'JNJ': 0.10222538431228928, 'JPM': 0.29748131020387086, 'META': 0.01014774830035293, 'MSFT': 0.009373916900952694, 'NFLX': 0.19092624485465468, 'NVDA': 0.01064728619931821, 'PG': 0.009468209597038509, 'TSLA': 0.01085772068970957, 'UNH': 0.009061838271633496, 'V': 0.010201028608472853, 'XOM': 0.2988011404229907}"
2023-01-12,105748.8921994615,-50.0,0.006796667684269209,"{'AAPL': 0.010091986043449921, 'AMZN': 0.0105028948197265, 'F': 0.010878638067478609, 'GOOGL': 0.009674477636380869, 'JNJ': 0.1010243421550284, 'JPM': 0.29517680543774627, 'META': 0.010368978867038376, 'MSFT': 0.00941883987371931, 'NFLX': 0.19130041879371693, 'NVDA': 0.01091247817613089, 'PG': 0.009351233400212754, 'TSLA': 0.01081417960699447, 'UNH': 0.009042074276715651, 'V': 0.010201504764810998, 'XOM': 0.301713966272701}"
2023-01-13,106655.1763062877,-50.0,0.008570152253858042,"{'AAPL': 0.010107483954480313, 'AMZN': 0.01072517301055377, 'F': 0.010215967943854307, 'GOOGL': 0.00969647795459113, 'JNJ': 0.09983777248768248, 'JPM': 0.30005408050512233, 'META': 0.01030117281232025, 'MSFT': 0.009366996237181345, 'NFLX': 0.19122040638831553, 'NVDA': 0.01107401212705623, 'PG': 0.009337996449548282, 'TSLA': 0.010621625844980507, 'UNH': 0.00885490907940186, 'V': 0.010089489284164423, 'XOM': 0.29896523642093514}"
2023-01-17,105720.28758070948,-50.0,-0.008765526043419071,"{'AAPL': 0.010286150942889259, 'AMZN': 0.010591750453995423, 'F': 0.010265795006479795, 'GOOGL': 0.00969408586778531, 'JNJ': 0.10009923096388765, 'JPM': 0.29802959198402884, 'META': 0.010269362233994196, 'MSFT': 0.009494070910167305, 'NFLX': 0.18908583605314305, 'NVDA': 0.011702801840633202, 'PG': 0.009393098780858993, 'TSLA': 0.01151134105863395, 'UNH': 0.008851283178257294, 'V': 0.010175973878403943, 'XOM': 0.30102257296857665}"
