date,value,cash,returns,weights
2023-01-03,99950.0,-50.00000000001456,0.0,"{'AAPL': 0.06670001667500418, 'AMZN': 0.06670001667500416, 'F': 0.06670001667500418, 'GOOGL': 0.06670001667500418, 'JNJ': 0.06670001667500418, 'JPM': 0.06670001667500418, 'META': 0.06670001667500418, 'MSFT': 0.06670001667500418, 'NFLX': 0.06670001667500418, 'NVDA': 0.06670001667500418, 'PG': 0.06670001667500418, 'TSLA': 0.06670001667500418, 'UNH': 0.06670001667500418, 'V': 0.06670001667500418, 'XOM': 0.06670001667500418}"
2023-01-04,101015.80603760107,-50.00000000001456,0.010663392072046713,"{'AAPL': 0.06671032166779159, 'AMZN': 0.06550609987152392, 'F': 0.06789484012199294, 'GOOGL': 0.06525874948103677, 'JNJ': 0.06674815950991235, 'JPM': 0.06664502760885878, 'META': 0.06742144188021396, 'MSFT': 0.06314094801138934, 'NFLX': 0.06926638801649425, 'NVDA': 0.06803116031000678, 'PG': 0.06631678990022302, 'TSLA': 0.06941321241249114, 'UNH': 0.06422909462047817, 'V': 0.06769125600098239, 'XOM': 0.06622148263069659}"
2023-01-05,99929.0759115481,-50.00000000001456,-0.010758020637368877,"{'AAPL': 0.06672067377375794, 'AMZN': 0.06464740720205009, 'F': 0.07000471809329274, 'GOOGL': 0.0645603871962574, 'JNJ': 0.06697585814713944, 'JPM': 0.06735485475628088, 'META': 0.06792455978577781, 'MSFT': 0.06193590014315366, 'NFLX': 0.0700852900740306, 'NVDA': 0.06651421824154077, 'PG': 0.06620568216553312, 'TSLA': 0.06813046429227736, 'UNH': 0.0630563370084001, 'V': 0.06794462284360968, 'XOM': 0.06843938114903071}"
2023-01-06,102130.08941346199,-50.00000000001456,0.022025756586222245,"{'AAPL': 0.06768477863889309, 'AMZN': 0.06550674035375734, 'F': 0.07034122689091708, 'GOOGL': 0.06400444934965271, 'JNJ': 0.06606387944200241, 'JPM': 0.06716438910608985, 'META': 0.06807328917191498, 'MSFT': 0.06131532021948602, 'NFLX': 0.06987019890469083, 'NVDA': 0.06779076091309569, 'PG': 0.06632144095526256, 'TSLA': 0.06830547476357114, 'UNH': 0.0617024420631206, 'V': 0.06857135089554836, 'XOM': 0.06777383001735635}"
2023-01-09,102780.06973450424,-50.00000000001456,0.00636423922445503,"{'AAPL': 0.06753174614668758, 'AMZN': 0.06606039318208769, 'F': 0.07050756618749489, 'GOOGL': 0.0640948524026195, 'JNJ': 0.06394531809567973, 'JPM': 0.06646385211622897, 'META': 0.06735664703372633, 'MSFT': 0.061520780075193925, 'NFLX': 0.06934473713525807, 'NVDA': 0.07084824310525589, 'PG': 0.06509710357034995, 'TSLA': 0.07190173730741069, 'UNH': 0.06131974020688386, 'V': 0.06840367433157811, 'XOM': 0.06609008474156641}"
2023-01-10,103880.12500943054,-50.00000000001456,0.01070300183457651,"{'AAPL': 0.06711436913113303, 'AMZN': 0.06723876457033709, 'F': 0.07058553121807869, 'GOOGL': 0.06370430844857233, 'JNJ': 0.06311681710591834, 'JPM': 0.0663488451466928, 'META': 0.06845525032107191, 'MSFT': 0.061332946796638345, 'NFLX': 0.07130326494220432, 'NVDA': 0.07135839040572059, 'PG': 0.06434418904626002, 'TSLA': 0.070593866866856, 'UNH': 0.060167754109589085, 'V': 0.06845021042673052, 'XOM': 0.06636681549028467}"
2023-01-11,105569.93685972635,-50.00000000001456,0.016266940862291062,"{'AAPL': 0.0674343715886837, 'AMZN': 0.0700054743526515, 'F': 0.07151123492549225, 'GOOGL': 0.06488233596068438, 'JNJ': 0.06200725425508437, 'JPM': 0.06577198772559084, 'META': 0.06730885811237564, 'MSFT': 0.06217612262037294, 'NFLX': 0.07010196654024464, 'NVDA': 0.07062223607249303, 'PG': 0.06280155532859774, 'TSLA': 0.07201802406766923, 'UNH': 0.06010614063431796, 'V': 0.06766226032469724, 'XOM': 0.06606379717376196}"
2023-01-12,106391.07405528607,-50.00000000001456,0.007778134760569011,"{'AAPL': 0.06687380206555532, 'AMZN': 0.06959665880093047, 'F': 0.07208649375209474, 'GOOGL': 0.06410721336291217, 'JNJ': 0.06121905451117814, 'JPM': 0.06519891187654624, 'META': 0.06870927460569584, 'MSFT': 0.062413248560829825, 'NFLX': 0.07017094561379864, 'NVDA': 0.0723107327391629, 'PG': 0.0619652592445384, 'TSLA': 0.0716593645121901, 'UNH': 0.05991663908766408, 'V': 0.06759951980468427, 'XOM': 0.06664284569976431}"
2023-01-13,106657.69251981756,-50.00000000001456,0.0025060228679799324,"{'AAPL': 0.0673816366927165, 'AMZN': 0.07149946658518538, 'F': 0.06810484622655257, 'GOOGL': 0.06464166133507238, 'JNJ': 0.06086597601963426, 'JPM': 0.06667711150739689, 'META': 0.06867286528226205, 'MSFT': 0.06244516837209741, 'NFLX': 0.07056588069550691, 'NVDA': 0.07382500583097937, 'PG': 0.062251841015531, 'TSLA': 0.07080916843357413, 'UNH': 0.059031334526216485, 'V': 0.06726167505408408, 'XOM': 0.06643515186367767}"
2023-01-17,106956.63069395788,-50.00000000001456,0.0028027811879089283,"{'AAPL': 0.06778166868353994, 'AMZN': 0.06979544866077905, 'F': 0.06764753110913431, 'GOOGL': 0.06388019387701542, 'JNJ': 0.060321386708437987, 'JPM': 0.06546324008501547, 'META': 0.06767103772835877, 'MSFT': 0.06256217437056553, 'NFLX': 0.06897320318452775, 'NVDA': 0.07711683810932979, 'PG': 0.061896807951868464, 'TSLA': 0.07585518723881288, 'UNH': 0.05832645730593432, 'V': 0.06705564538066092, 'XOM': 0.06612065880460302}"
